metros_cuadrados,baños,habitaciones,material,modelo,empresa,precio
50.0,1.0,3.0,madera,Mariola,Alucasa,67175.0
52.0,2.0,1.0,madera,Larun,KBOST,
60.0,1.0,3.0,madera,Modelo 60001,Pro-Gal Construcciones Prefabricadas,60000.0
183.0,2.0,3.0,madera,Syksy,Forest House,274500.0
90.0,1.0,3.0,madera,Guadalajara,Mi Casa de Madera,114070.0
42.0,2.0,3.0,acero,Mobile Home Siurana,ACASATEVA,43500.0
68.0,1.0,1.0,hormigón,Egeo 1,Modunova,
96.0,1.0,3.0,madera,Olivia,Mi Casa de Madera,121435.0
100.0,2.0,3.0,madera,Modelo 100005,Pro-Gal Construcciones Prefabricadas,100000.0
185.0,3.0,4.0,acero,Modelo 2P T4 R10,Modiko,
99.0,1.0,3.0,acero,ECO 99.3.1,Wigarma,
149.0,2.0,3.0,madera,Modelo 1149,GSI Constructora,
130.0,2.0,3.0,madera,Gandia,Casas Prefabricadas López S.L.,
25.0,1.0,1.0,madera,Kide,Forest House,35000.0
258.0,3.0,6.0,madera,R1428,Casastar,
84.0,1.0,2.0,acero,Project 84G,H.C.I Ecoedificación,
85.0,1.0,3.0,hormigón,Iria,Modunova,
187.0,2.0,3.0,madera,Annabel,Las Casas Modulares,265540.0
10.0,1.0,1.0,madera,Mini,Serena.House,32824.0
120.0,2.0,3.0,acero,Modelo 120001,Pro-Gal Construcciones Prefabricadas,120000.0
196.0,2.0,4.0,madera,Gabriela,Las Casas Modulares,278320.0
69.0,1.0,3.0,madera,Regina,Mi Casa de Madera,89597.0
200.0,2.0,3.0,hormigón,Gran Modular,Modular-House,
216.0,3.0,3.0,madera,Catalina,Arboretum Haus,360000.0
226.0,3.0,4.0,madera,Viaña 226,Madereco,
107.0,2.0,3.0,madera,Cubo 107,Madercás,
165.0,3.0,4.0,hormigón,Palawan,Bi·Homes,312142.0
132.0,2.0,2.0,madera,Casa 132,Madercás,
78.0,1.0,2.0,acero,ECO 78.2.1,Wigarma,
137.0,2.0,3.0,acero,Modelo 1P T3 R04,Modiko,
91.0,2.0,3.0,acero,Project 91,H.C.I Ecoedificación,
96.0,1.0,2.0,madera,Modelo 1.2,MeniArt,
